user_id,item_id,points,timestamp
1,tt0073486,5,978300760
1,tt0116683,3,978302109
1,tt0058385,3,978301968
1,tt0195685,4,978300275
1,tt0052618,5,978302039
1,tt0029583,4,978302268
1,tt0101414,5,978824268
1,tt0051658,4,978301752
1,tt0039628,4,978302281
1,tt0091042,4,978302124
1,tt0080339,4,978302188
1,tt0120855,3,978824268
1,tt0034492,4,978301777
1,tt0099077,5,978301713
1,tt0094737,4,978302039
1,tt0120789,3,978302205
1,tt0118114,3,978300760
1,tt0088763,5,978300055
1,tt0108052,5,978824195
1,tt0119643,3,978300103
1,tt0114148,5,978824351
1,tt0120338,4,978300055
1,tt0117359,4,978824139
1,tt0120587,4,978824291
1,tt0172493,4,978300019
1,tt0119282,4,978824330
1,tt0120762,4,978824330
1,tt0042332,5,978300055
1,tt0112384,5,978301777
1,tt0114709,5,978824268
1,tt0095953,5,978301590
1,tt0097239,4,978301753
1,tt0076759,4,978300760
1,tt0058331,5,978301777
1,tt0033563,5,978302205
1,tt0056592,4,978300719
1,tt0120815,5,978301619
1,tt0120363,4,978302174
1,tt0116282,4,978301398
1,tt0097165,4,978302091
2,tt0117631,5,978298709
2,tt0115956,3,978299351
2,tt0117060,4,978299913
2,tt0120915,3,978300051
2,tt0048545,3,978298905
2,tt0100802,3,978299809
2,tt0086190,4,978298151
2,tt0120873,3,978299941
2,tt0099685,2,978298458
2,tt0172495,5,978298958
2,tt0150377,3,978300002
2,tt0055630,4,978298434
2,tt0089881,3,978298151
2,tt0099077,4,978298673
2,tt0106582,2,978300174
2,tt0120832,3,978300123
2,tt0101393,2,978300002
2,tt0048380,4,978298625
2,tt0114069,3,978300123
2,tt0124879,5,978299220
2,tt0094027,4,978299120
2,tt0054698,2,978298905
2,tt0110478,4,978300002
2,tt0092005,5,978298841
2,tt0083987,5,978298261
2,tt0105488,4,978299620
2,tt0105112,2,978299839
2,tt0112573,5,978298625
2,tt0122690,3,978299889
2,tt0120784,3,978299966
2,tt0075860,5,978298814
2,tt0103064,4,978299773
2,tt0118583,3,978300051
2,tt0047296,5,978298458
2,tt0169547,4,978298434
2,tt0086879,5,978298391
2,tt0120815,4,978299773
2,tt0106697,3,978300025
2,tt0090830,3,978299046
2,tt0061418,3,978298813
2,tt0088172,2,978299173
2,tt0107290,5,978299809
2,tt0119937,4,978299297
2,tt0059113,5,978298625
2,tt0107048,3,978299712
2,tt0099423,5,978299889
2,tt0073486,5,978298413
2,tt0102975,3,978299941
2,tt0120660,4,978299861
2,tt0040506,4,978298958
2,tt0099348,5,978299083
2,tt0080684,5,978298730
2,tt0118880,3,978299941
2,tt0117998,4,978300100
2,tt0115759,2,978300143
2,tt0097428,3,978298196
2,tt0120591,3,978300174
2,tt0138097,4,978299641
2,tt0070666,3,978298814
2,tt0118883,3,978300025
2,tt0103241,3,978299712
2,tt0075148,5,978298841
2,tt0079417,4,978299200
2,tt0109707,3,978299351
2,tt0082846,5,978299418
2,tt0082158,5,978298750
2,tt0112851,4,978299809
2,tt0113161,1,978299839
2,tt0120789,3,978299666
2,tt0091763,2,978298580
2,tt0111503,5,978299809
2,tt0132477,5,978298600
2,tt0109444,4,978299839
2,tt0084707,4,978299386
2,tt0031381,5,978298775
2,tt0103074,4,978299809
2,tt0105690,3,978299966
2,tt0061735,4,978298924
2,tt0107611,3,978299418
2,tt0054331,3,978298881
2,tt0104714,5,978300100
2,tt0097239,5,978298813
2,tt0119822,5,978298841
2,tt0104507,4,978298372
2,tt0056592,4,978298478
2,tt0079522,3,978299143
2,tt0109830,5,978299686
2,tt0100150,2,978299200
2,tt0097165,5,978299418
2,tt0171580,1,978299535
3,tt0077975,4,978298147
3,tt0117060,3,978297867
3,tt0093822,4,978298147
3,tt0191754,3,978297068
3,tt0116483,4,978298486
3,tt0086190,4,978297600
3,tt0118708,3,978297095
3,tt0120601,3,978298147
3,tt0097576,4,978297600
3,tt0092005,5,978298296
3,tt0120611,5,978297600
3,tt0076759,5,978297512
3,tt0169547,4,978297039
3,tt0120363,3,978298103
3,tt0107290,4,978297690
3,tt0107048,2,978298316
3,tt0105695,5,978297396
3,tt0080684,4,978297539
3,tt0099348,4,978297439
3,tt0096487,5,978297419
3,tt0100994,4,978297419
3,tt0080487,5,978298459
3,tt0064115,5,978298166
3,tt0088763,3,978298231
3,tt0090555,4,978297777
3,tt0064276,4,978297570
3,tt0095953,4,978297095
3,tt0071230,5,978297419
3,tt0068473,4,978297539
3,tt0087469,4,978297777
3,tt0071853,5,978298079
4,tt0086190,3,978293924
4,tt0078748,4,978294260
4,tt0095016,4,978294282
4,tt0076759,5,978294199
4,tt0120815,5,978294230
4,tt0107290,4,978294008
4,tt0080684,2,978294199
4,tt0075148,5,978294282
4,tt0103074,4,978294260
4,tt0079501,4,978294260
4,tt0024216,4,978294230
4,tt0073195,5,978294199
4,tt0093773,1,978294008
4,tt0058150,5,978294230
5,tt0120684,4,978242607
5,tt0101700,5,978244759
5,tt0112697,3,978245037
5,tt0110632,2,978246585
5,tt0120879,5,978243121
5,tt0119578,4,978245513
5,tt0115906,4,978245645
5,tt0119008,3,978245695
5,tt0115736,4,978245334
5,tt0100802,1,978245645
5,tt0131325,4,978241981
5,tt0112471,3,978245422
5,tt0107653,1,978244001
5,tt0172495,2,978243803
5,tt0107756,4,978245999
5,tt0120903,2,978243170
5,tt0114279,4,978244692
5,tt0120601,5,978241556
5,tt0110912,4,978244177
5,tt0119488,3,978244025
5,tt0112701,4,978244759
5,tt0110889,3,978242934
5,tt0178737,2,978246162
5,tt0129332,4,978242977
5,tt0112384,2,978245763
5,tt0102592,2,978244568
5,tt0109579,3,978246528
5,tt0113277,2,978245916
5,tt0169547,4,978241390
5,tt0115640,5,978244114
5,tt0116905,2,978244540
5,tt0113819,2,978246479
5,tt0102370,2,978246426
5,tt0100332,5,978244493
5,tt0162661,3,978243054
5,tt0111257,4,978245999
5,tt0120660,3,978245790
5,tt0100436,2,978245948
5,tt0160797,1,978243896
5,tt0126604,3,978244667
5,tt0172632,2,978243869
5,tt0120780,3,978244624
